Id,Id2,Geography,TOT,65UP
1500000US490351001001,4.90351E+11,"Block Group 1, Census Tract 1001, Salt Lake County, Utah",548,37
1500000US490351001002,4.90351E+11,"Block Group 2, Census Tract 1001, Salt Lake County, Utah",817,64
1500000US490351002001,4.90351E+11,"Block Group 1, Census Tract 1002, Salt Lake County, Utah",1293,148
1500000US490351003061,4.90351E+11,"Block Group 1, Census Tract 1003.06, Salt Lake County, Utah",1796,29
1500000US490351003062,4.90351E+11,"Block Group 2, Census Tract 1003.06, Salt Lake County, Utah",1624,92
1500000US490351003063,4.90351E+11,"Block Group 3, Census Tract 1003.06, Salt Lake County, Utah",1954,148
1500000US490351003071,4.90351E+11,"Block Group 1, Census Tract 1003.07, Salt Lake County, Utah",1753,79
1500000US490351003072,4.90351E+11,"Block Group 2, Census Tract 1003.07, Salt Lake County, Utah",1823,82
1500000US490351003073,4.90351E+11,"Block Group 3, Census Tract 1003.07, Salt Lake County, Utah",1619,49
1500000US490351003081,4.90351E+11,"Block Group 1, Census Tract 1003.08, Salt Lake County, Utah",1825,119
1500000US490351003082,4.90351E+11,"Block Group 2, Census Tract 1003.08, Salt Lake County, Utah",2327,39
1500000US490351005001,4.90351E+11,"Block Group 1, Census Tract 1005, Salt Lake County, Utah",1091,153
1500000US490351005002,4.90351E+11,"Block Group 2, Census Tract 1005, Salt Lake County, Utah",1368,220
1500000US490351005003,4.90351E+11,"Block Group 3, Census Tract 1005, Salt Lake County, Utah",1509,242
1500000US490351005004,4.90351E+11,"Block Group 4, Census Tract 1005, Salt Lake County, Utah",990,92
1500000US490351005005,4.90351E+11,"Block Group 5, Census Tract 1005, Salt Lake County, Utah",1328,0
1500000US490351006001,4.90351E+11,"Block Group 1, Census Tract 1006, Salt Lake County, Utah",1423,149
1500000US490351006002,4.90351E+11,"Block Group 2, Census Tract 1006, Salt Lake County, Utah",1100,167
1500000US490351006003,4.90351E+11,"Block Group 3, Census Tract 1006, Salt Lake County, Utah",1737,250
1500000US490351006004,4.90351E+11,"Block Group 4, Census Tract 1006, Salt Lake County, Utah",1267,128
1500000US490351006005,4.90351E+11,"Block Group 5, Census Tract 1006, Salt Lake County, Utah",1229,70
1500000US490351007001,4.90351E+11,"Block Group 1, Census Tract 1007, Salt Lake County, Utah",760,85
1500000US490351007002,4.90351E+11,"Block Group 2, Census Tract 1007, Salt Lake County, Utah",1103,64
1500000US490351007003,4.90351E+11,"Block Group 3, Census Tract 1007, Salt Lake County, Utah",831,80
1500000US490351008001,4.90351E+11,"Block Group 1, Census Tract 1008, Salt Lake County, Utah",1001,82
1500000US490351008002,4.90351E+11,"Block Group 2, Census Tract 1008, Salt Lake County, Utah",551,124
1500000US490351008003,4.90351E+11,"Block Group 3, Census Tract 1008, Salt Lake County, Utah",997,229
1500000US490351010001,4.90351E+11,"Block Group 1, Census Tract 1010, Salt Lake County, Utah",930,90
1500000US490351010002,4.90351E+11,"Block Group 2, Census Tract 1010, Salt Lake County, Utah",2243,256
1500000US490351011011,4.90351E+11,"Block Group 1, Census Tract 1011.01, Salt Lake County, Utah",1046,113
1500000US490351011012,4.90351E+11,"Block Group 2, Census Tract 1011.01, Salt Lake County, Utah",911,50
1500000US490351011021,4.90351E+11,"Block Group 1, Census Tract 1011.02, Salt Lake County, Utah",1371,243
1500000US490351011022,4.90351E+11,"Block Group 2, Census Tract 1011.02, Salt Lake County, Utah",1169,161
1500000US490351011023,4.90351E+11,"Block Group 3, Census Tract 1011.02, Salt Lake County, Utah",937,211
1500000US490351012001,4.90351E+11,"Block Group 1, Census Tract 1012, Salt Lake County, Utah",928,24
1500000US490351012002,4.90351E+11,"Block Group 2, Census Tract 1012, Salt Lake County, Utah",749,143
1500000US490351012003,4.90351E+11,"Block Group 3, Census Tract 1012, Salt Lake County, Utah",943,130
1500000US490351012004,4.90351E+11,"Block Group 4, Census Tract 1012, Salt Lake County, Utah",1125,124
1500000US490351014001,4.90351E+11,"Block Group 1, Census Tract 1014, Salt Lake County, Utah",781,39
1500000US490351014002,4.90351E+11,"Block Group 2, Census Tract 1014, Salt Lake County, Utah",1647,102
1500000US490351014003,4.90351E+11,"Block Group 3, Census Tract 1014, Salt Lake County, Utah",2099,0
1500000US490351015001,4.90351E+11,"Block Group 1, Census Tract 1015, Salt Lake County, Utah",809,22
1500000US490351015002,4.90351E+11,"Block Group 2, Census Tract 1015, Salt Lake County, Utah",817,23
1500000US490351015003,4.90351E+11,"Block Group 3, Census Tract 1015, Salt Lake County, Utah",1069,90
1500000US490351015004,4.90351E+11,"Block Group 4, Census Tract 1015, Salt Lake County, Utah",546,34
1500000US490351016001,4.90351E+11,"Block Group 1, Census Tract 1016, Salt Lake County, Utah",693,103
1500000US490351016002,4.90351E+11,"Block Group 2, Census Tract 1016, Salt Lake County, Utah",1081,133
1500000US490351016003,4.90351E+11,"Block Group 3, Census Tract 1016, Salt Lake County, Utah",1786,90
1500000US490351017001,4.90351E+11,"Block Group 1, Census Tract 1017, Salt Lake County, Utah",1313,180
1500000US490351017002,4.90351E+11,"Block Group 2, Census Tract 1017, Salt Lake County, Utah",1031,73
1500000US490351017003,4.90351E+11,"Block Group 3, Census Tract 1017, Salt Lake County, Utah",608,0
1500000US490351018001,4.90351E+11,"Block Group 1, Census Tract 1018, Salt Lake County, Utah",1697,72
1500000US490351018002,4.90351E+11,"Block Group 2, Census Tract 1018, Salt Lake County, Utah",973,72
1500000US490351018003,4.90351E+11,"Block Group 3, Census Tract 1018, Salt Lake County, Utah",585,35
1500000US490351019001,4.90351E+11,"Block Group 1, Census Tract 1019, Salt Lake County, Utah",1366,347
1500000US490351019002,4.90351E+11,"Block Group 2, Census Tract 1019, Salt Lake County, Utah",949,57
1500000US490351020001,4.90351E+11,"Block Group 1, Census Tract 1020, Salt Lake County, Utah",962,23
1500000US490351020002,4.90351E+11,"Block Group 2, Census Tract 1020, Salt Lake County, Utah",543,32
1500000US490351020003,4.90351E+11,"Block Group 3, Census Tract 1020, Salt Lake County, Utah",1095,187
1500000US490351021001,4.90351E+11,"Block Group 1, Census Tract 1021, Salt Lake County, Utah",1351,63
1500000US490351023001,4.90351E+11,"Block Group 1, Census Tract 1023, Salt Lake County, Utah",1684,75
1500000US490351023002,4.90351E+11,"Block Group 2, Census Tract 1023, Salt Lake County, Utah",1271,416
1500000US490351025001,4.90351E+11,"Block Group 1, Census Tract 1025, Salt Lake County, Utah",2777,264
1500000US490351026001,4.90351E+11,"Block Group 1, Census Tract 1026, Salt Lake County, Utah",629,115
1500000US490351026002,4.90351E+11,"Block Group 2, Census Tract 1026, Salt Lake County, Utah",1010,126
1500000US490351026003,4.90351E+11,"Block Group 3, Census Tract 1026, Salt Lake County, Utah",2447,154
1500000US490351027011,4.90351E+11,"Block Group 1, Census Tract 1027.01, Salt Lake County, Utah",1661,137
1500000US490351027012,4.90351E+11,"Block Group 2, Census Tract 1027.01, Salt Lake County, Utah",1451,64
1500000US490351027013,4.90351E+11,"Block Group 3, Census Tract 1027.01, Salt Lake County, Utah",1996,113
1500000US490351027021,4.90351E+11,"Block Group 1, Census Tract 1027.02, Salt Lake County, Utah",1042,31
1500000US490351027022,4.90351E+11,"Block Group 2, Census Tract 1027.02, Salt Lake County, Utah",2803,145
1500000US490351028011,4.90351E+11,"Block Group 1, Census Tract 1028.01, Salt Lake County, Utah",1235,107
1500000US490351028012,4.90351E+11,"Block Group 2, Census Tract 1028.01, Salt Lake County, Utah",2497,184
1500000US490351028013,4.90351E+11,"Block Group 3, Census Tract 1028.01, Salt Lake County, Utah",2675,216
1500000US490351028021,4.90351E+11,"Block Group 1, Census Tract 1028.02, Salt Lake County, Utah",1424,80
1500000US490351028022,4.90351E+11,"Block Group 2, Census Tract 1028.02, Salt Lake County, Utah",1751,166
1500000US490351028023,4.90351E+11,"Block Group 3, Census Tract 1028.02, Salt Lake County, Utah",1829,64
1500000US490351029001,4.90351E+11,"Block Group 1, Census Tract 1029, Salt Lake County, Utah",2083,137
1500000US490351029002,4.90351E+11,"Block Group 2, Census Tract 1029, Salt Lake County, Utah",1463,51
1500000US490351029003,4.90351E+11,"Block Group 3, Census Tract 1029, Salt Lake County, Utah",1069,110
1500000US490351030001,4.90351E+11,"Block Group 1, Census Tract 1030, Salt Lake County, Utah",1358,141
1500000US490351030002,4.90351E+11,"Block Group 2, Census Tract 1030, Salt Lake County, Utah",1413,47
1500000US490351031001,4.90351E+11,"Block Group 1, Census Tract 1031, Salt Lake County, Utah",1356,107
1500000US490351031002,4.90351E+11,"Block Group 2, Census Tract 1031, Salt Lake County, Utah",1786,32
1500000US490351031003,4.90351E+11,"Block Group 3, Census Tract 1031, Salt Lake County, Utah",1202,95
1500000US490351032001,4.90351E+11,"Block Group 1, Census Tract 1032, Salt Lake County, Utah",1419,94
1500000US490351032002,4.90351E+11,"Block Group 2, Census Tract 1032, Salt Lake County, Utah",1611,237
1500000US490351032003,4.90351E+11,"Block Group 3, Census Tract 1032, Salt Lake County, Utah",1414,481
1500000US490351033001,4.90351E+11,"Block Group 1, Census Tract 1033, Salt Lake County, Utah",1626,55
1500000US490351033002,4.90351E+11,"Block Group 2, Census Tract 1033, Salt Lake County, Utah",1338,326
1500000US490351033003,4.90351E+11,"Block Group 3, Census Tract 1033, Salt Lake County, Utah",1363,51
1500000US490351034001,4.90351E+11,"Block Group 1, Census Tract 1034, Salt Lake County, Utah",1469,108
1500000US490351034002,4.90351E+11,"Block Group 2, Census Tract 1034, Salt Lake County, Utah",1273,59
1500000US490351034003,4.90351E+11,"Block Group 3, Census Tract 1034, Salt Lake County, Utah",1747,69
1500000US490351035001,4.90351E+11,"Block Group 1, Census Tract 1035, Salt Lake County, Utah",1170,109
1500000US490351035002,4.90351E+11,"Block Group 2, Census Tract 1035, Salt Lake County, Utah",1408,111
1500000US490351035003,4.90351E+11,"Block Group 3, Census Tract 1035, Salt Lake County, Utah",1417,82
1500000US490351036001,4.90351E+11,"Block Group 1, Census Tract 1036, Salt Lake County, Utah",1224,91
1500000US490351036002,4.90351E+11,"Block Group 2, Census Tract 1036, Salt Lake County, Utah",1318,141
1500000US490351037001,4.90351E+11,"Block Group 1, Census Tract 1037, Salt Lake County, Utah",1083,68
1500000US490351037002,4.90351E+11,"Block Group 2, Census Tract 1037, Salt Lake County, Utah",1600,122
1500000US490351038001,4.90351E+11,"Block Group 1, Census Tract 1038, Salt Lake County, Utah",1157,170
1500000US490351038002,4.90351E+11,"Block Group 2, Census Tract 1038, Salt Lake County, Utah",1356,60
1500000US490351039001,4.90351E+11,"Block Group 1, Census Tract 1039, Salt Lake County, Utah",1328,99
1500000US490351039002,4.90351E+11,"Block Group 2, Census Tract 1039, Salt Lake County, Utah",1500,74
1500000US490351039003,4.90351E+11,"Block Group 3, Census Tract 1039, Salt Lake County, Utah",1451,150
1500000US490351040001,4.90351E+11,"Block Group 1, Census Tract 1040, Salt Lake County, Utah",1558,150
1500000US490351040002,4.90351E+11,"Block Group 2, Census Tract 1040, Salt Lake County, Utah",924,183
1500000US490351040003,4.90351E+11,"Block Group 3, Census Tract 1040, Salt Lake County, Utah",726,98
1500000US490351041001,4.90351E+11,"Block Group 1, Census Tract 1041, Salt Lake County, Utah",1476,180
1500000US490351041002,4.90351E+11,"Block Group 2, Census Tract 1041, Salt Lake County, Utah",1530,232
1500000US490351042001,4.90351E+11,"Block Group 1, Census Tract 1042, Salt Lake County, Utah",1558,324
1500000US490351042002,4.90351E+11,"Block Group 2, Census Tract 1042, Salt Lake County, Utah",937,162
1500000US490351042003,4.90351E+11,"Block Group 3, Census Tract 1042, Salt Lake County, Utah",921,240
1500000US490351042004,4.90351E+11,"Block Group 4, Census Tract 1042, Salt Lake County, Utah",1749,282
1500000US490351042005,4.90351E+11,"Block Group 5, Census Tract 1042, Salt Lake County, Utah",782,290
1500000US490351042006,4.90351E+11,"Block Group 6, Census Tract 1042, Salt Lake County, Utah",930,316
1500000US490351043001,4.90351E+11,"Block Group 1, Census Tract 1043, Salt Lake County, Utah",1373,144
1500000US490351043002,4.90351E+11,"Block Group 2, Census Tract 1043, Salt Lake County, Utah",1386,105
1500000US490351044001,4.90351E+11,"Block Group 1, Census Tract 1044, Salt Lake County, Utah",1179,108
1500000US490351044002,4.90351E+11,"Block Group 2, Census Tract 1044, Salt Lake County, Utah",951,132
1500000US490351047001,4.90351E+11,"Block Group 1, Census Tract 1047, Salt Lake County, Utah",1580,157
1500000US490351047002,4.90351E+11,"Block Group 2, Census Tract 1047, Salt Lake County, Utah",2344,198
1500000US490351047003,4.90351E+11,"Block Group 3, Census Tract 1047, Salt Lake County, Utah",1304,273
1500000US490351048001,4.90351E+11,"Block Group 1, Census Tract 1048, Salt Lake County, Utah",1039,100
1500000US490351048002,4.90351E+11,"Block Group 2, Census Tract 1048, Salt Lake County, Utah",1475,169
1500000US490351048003,4.90351E+11,"Block Group 3, Census Tract 1048, Salt Lake County, Utah",801,265
1500000US490351048004,4.90351E+11,"Block Group 4, Census Tract 1048, Salt Lake County, Utah",1747,114
1500000US490351049001,4.90351E+11,"Block Group 1, Census Tract 1049, Salt Lake County, Utah",791,17
1500000US490351049002,4.90351E+11,"Block Group 2, Census Tract 1049, Salt Lake County, Utah",1561,109
1500000US490351049003,4.90351E+11,"Block Group 3, Census Tract 1049, Salt Lake County, Utah",914,80
1500000US490351101021,4.90351E+11,"Block Group 1, Census Tract 1101.02, Salt Lake County, Utah",973,67
1500000US490351101022,4.90351E+11,"Block Group 2, Census Tract 1101.02, Salt Lake County, Utah",1617,284
1500000US490351101023,4.90351E+11,"Block Group 3, Census Tract 1101.02, Salt Lake County, Utah",1731,291
1500000US490351101031,4.90351E+11,"Block Group 1, Census Tract 1101.03, Salt Lake County, Utah",1770,170
1500000US490351101032,4.90351E+11,"Block Group 2, Census Tract 1101.03, Salt Lake County, Utah",1089,180
1500000US490351101033,4.90351E+11,"Block Group 3, Census Tract 1101.03, Salt Lake County, Utah",885,180
1500000US490351101041,4.90351E+11,"Block Group 1, Census Tract 1101.04, Salt Lake County, Utah",2103,260
1500000US490351101042,4.90351E+11,"Block Group 2, Census Tract 1101.04, Salt Lake County, Utah",1001,231
1500000US490351101043,4.90351E+11,"Block Group 3, Census Tract 1101.04, Salt Lake County, Utah",967,205
1500000US490351101044,4.90351E+11,"Block Group 4, Census Tract 1101.04, Salt Lake County, Utah",1213,305
1500000US490351102001,4.90351E+11,"Block Group 1, Census Tract 1102, Salt Lake County, Utah",1115,144
1500000US490351102002,4.90351E+11,"Block Group 2, Census Tract 1102, Salt Lake County, Utah",789,145
1500000US490351102003,4.90351E+11,"Block Group 3, Census Tract 1102, Salt Lake County, Utah",994,115
1500000US490351102004,4.90351E+11,"Block Group 4, Census Tract 1102, Salt Lake County, Utah",1184,104
1500000US490351102005,4.90351E+11,"Block Group 5, Census Tract 1102, Salt Lake County, Utah",1344,226
1500000US490351103001,4.90351E+11,"Block Group 1, Census Tract 1103, Salt Lake County, Utah",760,70
1500000US490351103002,4.90351E+11,"Block Group 2, Census Tract 1103, Salt Lake County, Utah",785,72
1500000US490351103003,4.90351E+11,"Block Group 3, Census Tract 1103, Salt Lake County, Utah",1024,266
1500000US490351103004,4.90351E+11,"Block Group 4, Census Tract 1103, Salt Lake County, Utah",702,111
1500000US490351103005,4.90351E+11,"Block Group 5, Census Tract 1103, Salt Lake County, Utah",1023,69
1500000US490351103006,4.90351E+11,"Block Group 6, Census Tract 1103, Salt Lake County, Utah",1056,146
1500000US490351104011,4.90351E+11,"Block Group 1, Census Tract 1104.01, Salt Lake County, Utah",994,121
1500000US490351104012,4.90351E+11,"Block Group 2, Census Tract 1104.01, Salt Lake County, Utah",466,29
1500000US490351104013,4.90351E+11,"Block Group 3, Census Tract 1104.01, Salt Lake County, Utah",1719,425
1500000US490351104021,4.90351E+11,"Block Group 1, Census Tract 1104.02, Salt Lake County, Utah",1686,210
1500000US490351104022,4.90351E+11,"Block Group 2, Census Tract 1104.02, Salt Lake County, Utah",823,225
1500000US490351104023,4.90351E+11,"Block Group 3, Census Tract 1104.02, Salt Lake County, Utah",1305,208
1500000US490351105001,4.90351E+11,"Block Group 1, Census Tract 1105, Salt Lake County, Utah",1846,229
1500000US490351105002,4.90351E+11,"Block Group 2, Census Tract 1105, Salt Lake County, Utah",1956,412
1500000US490351105003,4.90351E+11,"Block Group 3, Census Tract 1105, Salt Lake County, Utah",813,201
1500000US490351105004,4.90351E+11,"Block Group 4, Census Tract 1105, Salt Lake County, Utah",1454,222
1500000US490351106001,4.90351E+11,"Block Group 1, Census Tract 1106, Salt Lake County, Utah",1013,219
1500000US490351106002,4.90351E+11,"Block Group 2, Census Tract 1106, Salt Lake County, Utah",1391,165
1500000US490351106003,4.90351E+11,"Block Group 3, Census Tract 1106, Salt Lake County, Utah",1108,185
1500000US490351106004,4.90351E+11,"Block Group 4, Census Tract 1106, Salt Lake County, Utah",886,107
1500000US490351106005,4.90351E+11,"Block Group 5, Census Tract 1106, Salt Lake County, Utah",766,165
1500000US490351107011,4.90351E+11,"Block Group 1, Census Tract 1107.01, Salt Lake County, Utah",1634,134
1500000US490351107012,4.90351E+11,"Block Group 2, Census Tract 1107.01, Salt Lake County, Utah",2158,211
1500000US490351107021,4.90351E+11,"Block Group 1, Census Tract 1107.02, Salt Lake County, Utah",1432,203
1500000US490351107022,4.90351E+11,"Block Group 2, Census Tract 1107.02, Salt Lake County, Utah",1268,170
1500000US490351107023,4.90351E+11,"Block Group 3, Census Tract 1107.02, Salt Lake County, Utah",995,172
1500000US490351107024,4.90351E+11,"Block Group 4, Census Tract 1107.02, Salt Lake County, Utah",1495,229
1500000US490351108001,4.90351E+11,"Block Group 1, Census Tract 1108, Salt Lake County, Utah",750,201
1500000US490351108002,4.90351E+11,"Block Group 2, Census Tract 1108, Salt Lake County, Utah",1287,273
1500000US490351108003,4.90351E+11,"Block Group 3, Census Tract 1108, Salt Lake County, Utah",1643,332
1500000US490351108004,4.90351E+11,"Block Group 4, Census Tract 1108, Salt Lake County, Utah",1457,381
1500000US490351109001,4.90351E+11,"Block Group 1, Census Tract 1109, Salt Lake County, Utah",1113,263
1500000US490351109002,4.90351E+11,"Block Group 2, Census Tract 1109, Salt Lake County, Utah",2162,235
1500000US490351109003,4.90351E+11,"Block Group 3, Census Tract 1109, Salt Lake County, Utah",715,189
1500000US490351109004,4.90351E+11,"Block Group 4, Census Tract 1109, Salt Lake County, Utah",607,100
1500000US490351110011,4.90351E+11,"Block Group 1, Census Tract 1110.01, Salt Lake County, Utah",1261,228
1500000US490351110012,4.90351E+11,"Block Group 2, Census Tract 1110.01, Salt Lake County, Utah",2328,389
1500000US490351110013,4.90351E+11,"Block Group 3, Census Tract 1110.01, Salt Lake County, Utah",1198,247
1500000US490351110021,4.90351E+11,"Block Group 1, Census Tract 1110.02, Salt Lake County, Utah",1730,272
1500000US490351110022,4.90351E+11,"Block Group 2, Census Tract 1110.02, Salt Lake County, Utah",1921,343
1500000US490351110023,4.90351E+11,"Block Group 3, Census Tract 1110.02, Salt Lake County, Utah",1858,74
1500000US490351111011,4.90351E+11,"Block Group 1, Census Tract 1111.01, Salt Lake County, Utah",1369,302
1500000US490351111012,4.90351E+11,"Block Group 2, Census Tract 1111.01, Salt Lake County, Utah",2241,360
1500000US490351111013,4.90351E+11,"Block Group 3, Census Tract 1111.01, Salt Lake County, Utah",1271,191
1500000US490351111014,4.90351E+11,"Block Group 4, Census Tract 1111.01, Salt Lake County, Utah",1712,424
1500000US490351111021,4.90351E+11,"Block Group 1, Census Tract 1111.02, Salt Lake County, Utah",1733,301
1500000US490351111022,4.90351E+11,"Block Group 2, Census Tract 1111.02, Salt Lake County, Utah",1324,276
1500000US490351111023,4.90351E+11,"Block Group 3, Census Tract 1111.02, Salt Lake County, Utah",955,94
1500000US490351111024,4.90351E+11,"Block Group 4, Census Tract 1111.02, Salt Lake County, Utah",1715,342
1500000US490351111031,4.90351E+11,"Block Group 1, Census Tract 1111.03, Salt Lake County, Utah",1256,396
1500000US490351111032,4.90351E+11,"Block Group 2, Census Tract 1111.03, Salt Lake County, Utah",1419,498
1500000US490351111033,4.90351E+11,"Block Group 3, Census Tract 1111.03, Salt Lake County, Utah",2241,285
1500000US490351111034,4.90351E+11,"Block Group 4, Census Tract 1111.03, Salt Lake County, Utah",942,439
1500000US490351112011,4.90351E+11,"Block Group 1, Census Tract 1112.01, Salt Lake County, Utah",1193,233
1500000US490351112012,4.90351E+11,"Block Group 2, Census Tract 1112.01, Salt Lake County, Utah",1604,222
1500000US490351112021,4.90351E+11,"Block Group 1, Census Tract 1112.02, Salt Lake County, Utah",2909,278
1500000US490351112022,4.90351E+11,"Block Group 2, Census Tract 1112.02, Salt Lake County, Utah",543,73
1500000US490351112023,4.90351E+11,"Block Group 3, Census Tract 1112.02, Salt Lake County, Utah",1435,160
1500000US490351113021,4.90351E+11,"Block Group 1, Census Tract 1113.02, Salt Lake County, Utah",1093,160
1500000US490351113022,4.90351E+11,"Block Group 2, Census Tract 1113.02, Salt Lake County, Utah",1834,377
